2025-12-12 13:21:32,705 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47773/valorizacao-cultural-inscricoes-para-credenciamento-de-artistas-em-diversas-areas-culturais-seguem-ate-o-dia-26
2025-12-12 13:21:33,284 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47675/valorizacao-cultural-estao-abertas-as-inscricoes-para-credenciamento-de-artistas-em-diversas-areas-culturais-em-porto-velho
2025-12-12 13:21:33,840 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47569/carnaval-2025-programacao-dos-desfiles-carnavalescos-continua-neste-final-de-semana-em-porto-velho
2025-12-12 13:21:34,385 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47487/carnaval-2025-prefeitura-de-porto-velho-divulga-programacao-completa-dos-desfiles-carnavalescos-a-partir-desta-quinta-feira-27
2025-12-12 13:21:34,958 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47393/carnaval-2025-prefeitura-inicia-festas-momescas-com-seguranca-e-sucesso-de-publico
2025-12-12 13:21:35,591 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47390/carnaval-2025-confira-a-programacao-dos-blocos-carnavalescos-e-alteracao-no-itinerario-dos-onibus-para-este-final-de-semana
2025-12-12 13:21:36,191 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47354/respeito-a-cultura-grupos-folcloricos-retomam-espacos-publicos-apos-prefeitura-revogar-proibicao-de-utilizacao
2025-12-12 13:21:36,864 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/noticias?page=7
2025-12-12 13:21:37,515 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47309/carnaval-2025-curumim-folia-leva-alegria-musica-fantasia-e-diversao-para-criancas-no-mercado-cultural
2025-12-12 13:21:38,148 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47304/tradicao-baile-municipal-abre-o-carnaval-de-porto-velho-e-anima-folioes-com-muita-marchinha
2025-12-12 13:21:38,760 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47281/carnaval-2025-fantasias-e-aderecos-da-corte-do-rei-momo-sao-confeccionados-por-artistas-de-porto-velho
2025-12-12 13:21:39,388 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47261/carnaval-2025-baile-municipal-e-curumim-folia-abrem-oficialmente-o-periodo-momesco-em-porto-velho
2025-12-12 13:21:39,969 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47249/carnaval-2025-rei-momo-e-rainha-falam-da-expectativa-para-o-baile-municipal-de-porto-velho
2025-12-12 13:21:40,521 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47245/carnaval-2025-mercado-cultural-ja-esta-sendo-decorado-para-o-baile-municipal-a-abertura-oficial-do-carnaval-em-porto-velho
2025-12-12 13:21:41,387 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47137/carnaval-2025-baile-municipal-abre-oficialmente-os-festejos-carnavalescos-em-porto-velho-no-dia-15-de-fevereiro-no-mercado-cultural
